Order_ID,City,Restaurant_Name,Food_Category,Order_Date,Delivery_Time_Minutes,Order_Value,Customer_Rating,Payment_Method,Order_Status
1,Delhi,Spicy Hub,Chinese,2024-03-09,22,1164,4.4,Wallet,Pending
2,Bangalore,Spicy Hub,Fast Food,2024-07-13,16,948,3.6,UPI,Pending
3,Hyderabad,Street Treat,North Indian,2024-08-16,52,359,4.8,UPI,Delivered
4,Delhi,Spicy Hub,Fast Food,2024-01-14,58,593,4.9,UPI,Pending
5,Mumbai,Urban Kitchen,Biryani,2024-04-23,29,857,3.1,Card,Cancelled
6,Chennai,Urban Kitchen,Biryani,2024-05-28,56,354,3.0,Cash,Delivered
7,Delhi,Urban Kitchen,Biryani,2024-06-19,57,538,3.3,Wallet,Pending
8,Delhi,Spicy Hub,Fast Food,2024-07-20,30,977,3.5,Card,Cancelled
9,Hyderabad,Spicy Hub,Fast Food,2024-10-07,57,1191,2.8,Card,Pending
10,Hyderabad,Urban Kitchen,Desserts,2024-07-20,16,1111,2.6,Wallet,Pending
11,Bangalore,Royal Dine,North Indian,2024-03-28,15,558,3.8,Card,Cancelled
12,Hyderabad,Royal Dine,Chinese,2024-09-20,44,701,4.1,UPI,Cancelled
13,Bangalore,Royal Dine,Biryani,2024-09-19,28,1022,4.9,Wallet,Cancelled
14,Delhi,Food Palace,Biryani,2024-10-18,41,1143,4.5,Wallet,Cancelled
15,Delhi,Royal Dine,Biryani,2024-01-01,54,828,3.6,UPI,Delivered
16,Bangalore,Royal Dine,Biryani,2024-11-21,26,337,4.5,Cash,Delivered
17,Chennai,Spicy Hub,South Indian,2024-12-10,43,179,4.4,Cash,Delivered
18,Chennai,Royal Dine,North Indian,2024-05-17,37,744,2.7,Card,Cancelled
19,Bangalore,Street Treat,Chinese,2024-09-27,56,753,3.6,Cash,Cancelled
20,Chennai,Spicy Hub,Chinese,2024-08-30,39,853,3.6,Card,Cancelled
21,Hyderabad,Street Treat,Biryani,2024-02-25,28,1034,4.5,UPI,Delivered
22,Mumbai,Food Palace,South Indian,2024-01-10,25,1062,4.3,Wallet,Pending
23,Delhi,Urban Kitchen,North Indian,2024-04-22,48,212,3.5,Cash,Pending
24,Mumbai,Spicy Hub,Desserts,2024-11-19,34,407,4.9,UPI,Cancelled
25,Chennai,Tasty Bites,Chinese,2024-02-06,25,1002,3.9,Card,Delivered
26,Chennai,Royal Dine,North Indian,2024-10-14,51,1093,2.9,UPI,Cancelled
27,Hyderabad,Spicy Hub,North Indian,2024-04-12,51,1036,4.0,Wallet,Delivered
28,Mumbai,Tasty Bites,Biryani,2024-12-06,46,185,3.3,Wallet,Cancelled
29,Bangalore,Food Palace,Chinese,2024-01-10,51,426,3.3,Card,Cancelled
30,Chennai,Urban Kitchen,Biryani,2024-12-11,37,1142,4.4,Card,Delivered
31,Chennai,Food Palace,North Indian,2024-01-21,25,586,3.2,Cash,Pending
32,Hyderabad,Tasty Bites,Chinese,2024-09-16,36,383,3.2,Wallet,Delivered
33,Delhi,Spicy Hub,Chinese,2024-10-23,17,982,2.7,Card,Delivered
34,Chennai,Royal Dine,Biryani,2024-06-23,39,306,3.9,Card,Pending
35,Hyderabad,Tasty Bites,Chinese,2024-02-11,51,384,3.6,Cash,Delivered
36,Hyderabad,Spicy Hub,Biryani,2024-01-24,57,179,2.7,UPI,Delivered
37,Bangalore,Royal Dine,Fast Food,2024-04-06,25,386,3.6,Card,Delivered
38,Mumbai,Urban Kitchen,Biryani,2024-02-22,33,668,4.3,Cash,Delivered
39,Hyderabad,Spicy Hub,South Indian,2024-04-16,15,755,4.3,Cash,Cancelled
40,Hyderabad,Urban Kitchen,South Indian,2024-07-19,19,799,4.9,Wallet,Delivered
41,Bangalore,Royal Dine,Biryani,2024-05-08,59,1110,4.2,Cash,Delivered
42,Bangalore,Tasty Bites,North Indian,2024-10-04,30,888,2.7,Cash,Delivered
43,Chennai,Street Treat,Biryani,2024-08-17,56,844,4.9,Wallet,Cancelled
44,Hyderabad,Food Palace,Chinese,2024-01-22,52,770,3.1,UPI,Pending
45,Delhi,Royal Dine,South Indian,2024-11-09,30,600,2.6,Card,Cancelled
46,Hyderabad,Royal Dine,South Indian,2024-02-07,19,194,4.1,Cash,Cancelled
47,Mumbai,Food Palace,South Indian,2024-09-09,47,821,2.7,Card,Delivered
48,Bangalore,Tasty Bites,Chinese,2024-03-17,21,751,2.8,Card,Delivered
49,Chennai,Tasty Bites,Biryani,2024-10-06,58,570,2.9,Wallet,Pending
50,Chennai,Street Treat,Desserts,2024-03-21,30,667,4.4,Wallet,Cancelled
51,Hyderabad,Royal Dine,Fast Food,2024-10-08,49,1078,2.5,Cash,Delivered
52,Mumbai,Spicy Hub,Desserts,2024-05-12,41,188,2.7,Cash,Pending
53,Delhi,Food Palace,North Indian,2024-03-11,31,717,3.5,Wallet,Delivered
54,Chennai,Food Palace,Fast Food,2024-11-09,15,513,3.8,Wallet,Pending
55,Bangalore,Food Palace,Chinese,2024-11-23,46,1130,4.9,Wallet,Cancelled
56,Delhi,Street Treat,Desserts,2024-10-13,32,599,2.6,UPI,Pending
57,Hyderabad,Food Palace,Biryani,2024-11-26,28,788,3.2,Cash,Pending
58,Bangalore,Street Treat,Desserts,2024-07-09,44,324,4.6,Wallet,Delivered
59,Hyderabad,Urban Kitchen,North Indian,2024-03-20,51,256,3.7,Wallet,Pending
60,Hyderabad,Urban Kitchen,Biryani,2024-11-22,25,233,3.8,UPI,Cancelled
61,Chennai,Tasty Bites,Desserts,2024-11-17,20,434,4.9,UPI,Cancelled
62,Mumbai,Urban Kitchen,Fast Food,2024-05-03,25,816,3.6,Wallet,Delivered
63,Mumbai,Royal Dine,Biryani,2024-03-02,41,391,4.2,Cash,Delivered
64,Delhi,Spicy Hub,North Indian,2024-07-12,48,1048,3.9,UPI,Pending
65,Bangalore,Tasty Bites,North Indian,2024-11-06,26,733,2.9,Card,Cancelled
66,Delhi,Tasty Bites,Desserts,2024-06-08,43,494,3.9,Wallet,Cancelled
67,Bangalore,Royal Dine,Fast Food,2024-03-03,28,731,4.5,UPI,Delivered
68,Chennai,Royal Dine,Chinese,2024-10-18,58,429,2.7,Cash,Pending
69,Mumbai,Royal Dine,Desserts,2024-06-08,37,812,2.5,Wallet,Pending
70,Hyderabad,Tasty Bites,Biryani,2024-08-18,40,845,4.5,Wallet,Delivered
71,Mumbai,Urban Kitchen,North Indian,2024-11-27,50,157,5.0,Card,Cancelled
72,Delhi,Urban Kitchen,Desserts,2024-11-03,60,775,4.3,Wallet,Pending
73,Delhi,Food Palace,Chinese,2024-12-08,48,157,4.2,Wallet,Cancelled
74,Delhi,Royal Dine,Desserts,2024-06-21,59,288,3.7,Card,Pending
75,Hyderabad,Street Treat,South Indian,2024-11-28,41,469,4.1,Wallet,Cancelled
76,Chennai,Royal Dine,South Indian,2024-04-01,37,691,4.5,Wallet,Pending
77,Hyderabad,Food Palace,Fast Food,2024-10-05,31,1142,2.9,UPI,Cancelled
78,Chennai,Street Treat,Biryani,2024-09-18,42,292,3.4,Wallet,Delivered
79,Delhi,Street Treat,North Indian,2024-03-25,59,340,3.5,Cash,Pending
80,Bangalore,Royal Dine,North Indian,2024-06-04,30,833,3.2,UPI,Pending
81,Hyderabad,Urban Kitchen,Biryani,2024-09-24,50,251,2.9,Cash,Cancelled
82,Bangalore,Urban Kitchen,Biryani,2024-11-08,40,502,3.7,Cash,Pending
83,Bangalore,Tasty Bites,Biryani,2024-06-17,60,650,4.6,UPI,Pending
84,Hyderabad,Urban Kitchen,North Indian,2024-07-25,32,538,2.7,Card,Pending
85,Delhi,Street Treat,North Indian,2024-08-15,53,686,3.6,Card,Delivered
